Pert.1,Pert.2,Pert.3,Pert.4,Pert.5,Pert.6,Pert.7,Pert.8,Pert.9,Pert.10,Pert.11,Pert.12,Pert.13,Pert.14,Pert.15,HASIL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.25
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.75
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.25
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.75
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.5
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.25
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.75
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.5
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.5
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-0.75
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.25
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.25
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.75
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.5
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.5
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-0.75
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1.25
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-0.5
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-0.75
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1.25
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-0.75
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-1.25
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1.5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.25
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.75
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.5
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.5
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.75
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1.25
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.5
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.75
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-1.25
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.75
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-1.25
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,-1.5
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.5
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-0.75
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-1.25
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.75
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,-1.25
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-1
0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1.5
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-0.75
0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-1.25
0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-1
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-1.5
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,-1.5
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-1.25
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1.75
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.75
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.5
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.5
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-0.75
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1.25
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.5
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.75
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-1.25
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-0.75
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,-1.25
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,-1
0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,-1.5
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.5
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-1
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-0.75
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-1.25
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-0.75
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-1.25
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,-1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,-1.5
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-0.75
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,-1.25
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,-1
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,-1.5
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-1
0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-1.5
0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,-1.25
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-1.75
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.5
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.75
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,-1.25
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-0.75
0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,-1.25
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-1
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,-1.5
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-0.75
0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-1.25
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-1
0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,-1.5
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,-1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,-1.5
0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,-1.25
0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-1.75
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0.75
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,-1.25
0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,-1
0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-1.5
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-1
0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,-1.5
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,-1.25
0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,-1.75
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,-1.5
0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-1.25
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,-1.75
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1.25
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,-1.75
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,-1.5
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.25
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.75
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.25
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.75
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.5
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.25
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-0.75
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-0.5
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,-1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-0.5
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,-1
0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-0.75
0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,-1.25
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.25
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.75
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-0.5
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-1
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.5
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1
0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-0.75
0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,-1.25
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-0.5
